Customer,Arrival_Date,Wait,Service_Start_Date,Service_Time,Service_End_Date
1,0.49181148184872747,0.0,0.49181148184872747,0.005242574275973208,0.49705405612470066
2,0.8265319153118413,0.0,0.8265319153118413,0.3453803251183374,1.1719122404301787
3,1.0565871334235462,0.11532510700663257,1.1719122404301787,0.06365747279608859,1.2355697132262673
4,1.130162153148529,0.10540756007773822,1.2355697132262673,0.3573325262512794,1.5929022394775467
5,1.1919151099331313,0.4009871295444154,1.5929022394775467,0.023121990400656232,1.616024229878203
6,1.5773569677960797,0.038667262082123344,1.616024229878203,0.7665029906317589,2.382527220509962
7,1.578675661565617,0.8038515589443449,2.382527220509962,0.17945848327708225,2.561985703787044
8,2.1368829184216427,0.42510278536540147,2.561985703787044,0.23702667542213568,2.79901237920918
9,2.5633010515136796,0.2357113276955003,2.79901237920918,0.08628403891256632,2.8852964181217464
10,3.3960627899085516,0.0,3.3960627899085516,0.3134446815236023,3.709507471432154
11,3.6567545826515317,0.05275288878062234,3.709507471432154,0.03833734745357821,3.7478448188857323
12,3.812538703665678,0.0,3.812538703665678,0.28031696094964703,4.092855664615326
13,4.006904500570849,0.08595116404447634,4.092855664615326,0.1422964810720692,4.235152145687395
14,4.327479451352635,0.0,4.327479451352635,0.1799437654529457,4.507423216805581
15,4.677798642818129,0.0,4.677798642818129,0.22972287360961693,4.907521516427746
16,5.2230989678563144,0.0,5.2230989678563144,0.18435166097476507,5.4074506288310795
17,6.020780549372711,0.0,6.020780549372711,0.09613492820142175,6.116915477574133
18,6.052385744817324,0.0645297327568084,6.116915477574133,0.08941888131554275,6.206334358889675
19,6.092725970905973,0.11360838798370221,6.206334358889675,0.4410574669906974,6.647391825880373
20,6.108736500012749,0.5386553258676239,6.647391825880373,0.24606688817309935,6.893458714053472
21,6.3731224779434275,0.5203362361100448,6.893458714053472,0.42771127939134507,7.321169993444817
22,6.4470654247847,0.8741045686601172,7.321169993444817,0.4859660900782471,7.807136083523065
23,6.591508316782819,1.215627766740246,7.807136083523065,0.35126502690116,8.158401110424224
24,6.708482493671671,1.4499186167525533,8.158401110424224,0.5384044119396718,8.696805522363896
25,6.839749446170634,1.8570560761932615,8.696805522363896,0.045085648374284526,8.74189117073818
26,7.005899860540566,1.7359913101976137,8.74189117073818,0.02453013429407477,8.766421305032255
27,7.579553165428262,1.1868681396039928,8.766421305032255,0.04096879149935281,8.807390096531607
28,7.7411178741088715,1.066272222422736,8.807390096531607,0.7217675087214613,9.529157605253069
29,9.205156323166413,0.32400128208665535,9.529157605253069,0.15234150452685852,9.681499109779928
30,9.788291732565925,0.0,9.788291732565925,0.07237898297183047,9.860670715537756
31,10.091538848090618,0.0,10.091538848090618,0.5828278433234833,10.674366691414102
32,10.34646140716933,0.32790528424477117,10.674366691414102,0.22302234228999665,10.8973890337041
33,10.359819445539854,0.5375695881642457,10.8973890337041,0.11047331688538792,11.007862350589487
34,10.387473159929478,0.6203891906600099,11.007862350589487,0.09112635137094095,11.098988701960428
35,10.521323741026718,0.5776649609337099,11.098988701960428,0.37161741494311734,11.470606116903545
36,10.53491690918506,0.9356892077184842,11.470606116903545,0.14030709993764182,11.610913216841187
37,10.660993472513042,0.9499197443281453,11.610913216841187,0.25298790415100286,11.863901120992189
38,10.80271976550459,1.0611813554875997,11.863901120992189,0.01101340583145556,11.874914526823645
39,11.509238734472596,0.3656757923510483,11.874914526823645,0.36017769726837195,12.235092224092016
40,12.210747635022825,0.024344589069190903,12.235092224092016,0.13511044781090759,12.370202671902923
41,12.520858559176226,0.0,12.520858559176226,0.18011244559948753,12.700971004775713
42,12.824490867359371,0.0,12.824490867359371,0.07602593021084413,12.900516797570216
43,12.943797682797054,0.0,12.943797682797054,0.006431981235664454,12.950229664032719
44,13.064150892557597,0.0,13.064150892557597,0.06929299945675035,13.133443892014348
45,13.335981401787498,0.0,13.335981401787498,0.208393872662887,13.544375274450385
46,13.550851051107763,0.0,13.550851051107763,0.0866097265203053,13.637460777628068
47,13.572987073015085,0.06447370461298263,13.637460777628068,0.9636644017804654,14.601125179408534
48,13.711344699932571,0.889780479475963,14.601125179408534,0.17082328828023485,14.77194846768877
49,14.969937053151385,0.0,14.969937053151385,0.1453003202601133,15.1152373734115
50,15.097645622883679,0.017591750527820693,15.1152373734115,0.18338657960093246,15.298623953012433
51,15.385336726476046,0.0,15.385336726476046,0.4809237491245286,15.866260475600575
52,15.408845673306855,0.45741480229371945,15.866260475600575,0.15615298040409958,16.022413456004674
53,15.916521287505919,0.10589216849875527,16.022413456004674,0.3169970303738667,16.33941048637854
54,16.210502086999963,0.12890839937857734,16.33941048637854,0.009449978183043935,16.348860464561582
55,16.35443317335341,0.0,16.35443317335341,0.20706463201702605,16.561497805370436
56,16.47319621396718,0.08830159140325478,16.561497805370436,0.17953121199634053,16.741029017366778
57,16.846270892161762,0.0,16.846270892161762,0.04334850157031231,16.889619393732072
58,16.86353630267098,0.026083091061092745,16.889619393732072,0.1030529113739446,16.992672305106016
59,16.90165651703942,0.0910157880665956,16.992672305106016,0.04927844869286657,17.041950753798883
60,17.625003610150273,0.0,17.625003610150273,0.11367630078588552,17.73867991093616
61,17.707298558546285,0.03138135238987516,17.73867991093616,0.34908230580722,18.08776221674338
62,17.74497651297698,0.34278570376639905,18.08776221674338,0.34123425612090685,18.428996472864284
63,17.956467595561477,0.4725288773028069,18.428996472864284,0.22798484772562702,18.65698132058991
64,18.00970861815553,0.6472727024343818,18.65698132058991,0.05084589976559015,18.7078272203555
